"metro","state","lat","long","population","n","pp"
"Sioux Falls","SD",43.5397,-96.732,210054,10,4.7606805868967
"Muskegon","MI",43.2281,-86.2563,200026,10,4.99935008448902
"Winter Haven","FL",28.0118,-81.7017,394733,20,5.06671598270223
"Grand Junction","CO",39.0876,-108.5673,196727,10,5.0831863445282
"Fayetteville","NC",35.0846,-78.9776,487423,25,5.12901524958814
"Newport News","VA",37.1051,-76.5185,384601,20,5.20019448727382
"Fort Smith","AR",35.3493,-94.3695,192189,10,5.20321142208971
"Boise","ID",43.6007,-116.2312,839294,44,5.24250143573051
"Round Lake Beach","IL",42.379,-88.0811,1323516,70,5.28894248350606
"Portland","OR",45.5372,-122.65,3509135,189,5.3859426895802
"Springfield","MO",37.1943,-93.2916,387540,21,5.41879547917634
"Morgantown","WV",39.638,-79.9468,236592,13,5.49469128288361
"Athens","GA",33.9508,-83.3689,163424,9,5.50714705306442
"Tyler","TX",32.3184,-95.3062,217805,12,5.50951539220863
"East Stroudsburg","PA",41.0023,-75.1779,177726,10,5.62663875853842
"Shreveport","LA",32.4656,-93.7956,366892,21,5.72375521951964
"St. George","UT",37.077,-113.577,190348,11,5.7788891924265
"Altoona","PA",40.5082,-78.4007,222724,13,5.83682045940267
"Anniston","AL",33.6712,-85.8136,230455,14,6.07493870820768
"Wilmington","NC",34.21,-77.8866,376237,23,6.11316802972594
"Killeen","TX",31.0754,-97.7296,508909,32,6.28796110896054
"Reno","NV",39.5497,-119.8483,695662,44,6.32491066063692
"Barnstable","MA",41.6722,-70.3599,544860,35,6.42366846529384
"Glens Falls","NY",43.3109,-73.6459,201544,13,6.45020442186322
"Honolulu","HI",21.3294,-157.846,1380496,90,6.51939592726093
"Fredericksburg","VA",38.2992,-77.4872,203906,14,6.86590880111424
"Colorado Springs","CO",38.8674,-104.7606,814762,56,6.87317277929015
"Wheeling","WV",40.0752,-80.6951,199650,14,7.01227147508139
"Fort Worth","TX",32.7811,-97.3473,1208158,85,7.03550363445841
"Elmira","NY",42.0938,-76.8097,223646,16,7.15416327589136
"Panama City","FL",30.1995,-85.6004,209428,15,7.16236606375461
"Greenville","NC",35.5956,-77.3768,206043,15,7.28003377935674
"Canton","OH",40.8075,-81.3677,569259,42,7.37801246884107
"Asheville","NC",35.5704,-82.5536,388778,29,7.45926981465001
